timestamp,user,dia,grupo,exercicio,series_reps,peso_kg,feito
2026-02-17T21:50:12Z,Felipe 💪,Terça,,,,10.0,0
2026-02-19T12:31:49Z,Felipe 💪,Segunda,Peito,Supino Reto com Halters,4x6,0.0,1
2026-02-19T12:31:58Z,Felipe 💪,Segunda,Peito,Supino Inclinado com Halters,4x6,0.0,1
2026-02-19T12:32:08Z,Felipe 💪,Segunda,Peito,Supino Reto com Halters,4x6,0.0,0
2026-02-25T11:45:33Z,Felipe 💪,Quarta,Pernas,Agachamento Livre (Barbell Squat),4x6-8,0.5,0
2026-02-25T22:36:17Z,Amor 🤍,Quarta,,Smith Machine Lunge,4 x 10,10.0,1
2026-02-25T22:36:23Z,Amor 🤍,Quarta,Glúteo,Cadeira abdutora,6 x 20,32.0,1
2026-02-25T22:36:35Z,Amor 🤍,Quarta,Posterior,Stiff unilateral,"4 x 12, 10, 10, 8",15.0,1
2026-02-26T22:37:15Z,Amor 🤍,Quinta,Costas,Puxada alta aberta,4 x 12 with triangle,1800.0,1
2026-02-26T22:37:16Z,Amor 🤍,Quinta,Costas,Puxada alta aberta,4 x 12 with triangle,1800.0,1
2026-02-26T22:37:33Z,Amor 🤍,Quinta,Costas,Puxada alta aberta,4 x 12 with triangle,18.0,1
2026-02-26T22:37:38Z,Amor 🤍,Quinta,Costas,Puxada alta aberta,"4x 12, 10, 10, 10",18.0,1
2026-02-26T22:37:48Z,Amor 🤍,Quinta,Ombro,Desenvolvimento com halteres,4 x 10,3.0,1
2026-02-26T22:37:54Z,Amor 🤍,Quinta,Ombro,Elevação lateral com halteres,"5 x 12, 10, 10, 8, 6",3.0,1
2026-02-26T22:37:59Z,Amor 🤍,Quinta,Costas,Pulldown,"4 x 16, 14, 14, 14",0.0,1
2026-02-26T22:38:08Z,Amor 🤍,Quinta,,Barbell Biceps / biceps com barra,4 x 10,10.0,0
2026-02-26T22:38:28Z,Amor 🤍,Quinta,Abdômen,Abdominal infra (elevação de pernas),4 x 20,0.0,1
